time,lat,lon,NO2,name,Shrubs_3000,Shrubs_6000,Shrubs_9000,Herbaceous_vegetation_3000,Herbaceous_vegetation_6000,Herbaceous_vegetation_9000,Cultivated_and_managed_vegetation/agriculture_3000,Cultivated_and_managed_vegetation/agriculture_6000,Cultivated_and_managed_vegetation/agriculture_9000,Urban/built_up_3000,Urban/built_up_6000,Urban/built_up_9000,Bare/sparse_vegetation_3000,Bare/sparse_vegetation_6000,Bare/sparse_vegetation_9000,Snow_and_ice_3000,Snow_and_ice_6000,Snow_and_ice_9000,Permanent_water_bodies_3000,Permanent_water_bodies_6000,Permanent_water_bodies_9000,Herbaceous_wetland_3000,Herbaceous_wetland_6000,Herbaceous_wetland_9000,Moss_and_lichen_3000,Moss_and_lichen_6000,Moss_and_lichen_9000,Close_forest_3000,Close_forest_6000,Close_forest_9000,Open_forest_3000,Open_forest_6000,Open_forest_9000,"Oceans,seas_3000","Oceans,seas_6000","Oceans,seas_9000",NDVI_3000,NDVI_6000,NDVI_9000,S5P_NO2_3000,S5P_NO2_6000,S5P_NO2_9000,temperature_3000,temperature_6000,temperature_9000,wind_speed_3000,wind_speed_6000,wind_speed_9000,relative_humidity_3000,relative_humidity_6000,relative_humidity_9000,pressure_3000,pressure_6000,pressure_9000,planetary_boundary_layer_height[pblh]_3000,planetary_boundary_layer_height[pblh]_6000,planetary_boundary_layer_height[pblh]_9000,dewpoint_temperature_(dpt)_3000,dewpoint_temperature_(dpt)_6000,dewpoint_temperature_(dpt)_9000,road_density_3000,road_density_6000,road_density_9000,population_density_3000,population_density_6000,population_density_9000
1/1/2019,21.0491,105.8831,,NVC,0,0,0,0,0,0,3,8,21,3,13,24,0,0,0,0,0,0,2,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1503346703118748,0.1584336432814598,0.16076732989476653,-2.7755575615628914e-17,4.163336342344337e-17,-5.551115123125783e-17,11.075550291273329,11.100268096923829,11.107976134942502,3.631308078765869,3.563483724594116,3.569114081713618,66.60816701253255,66.60837799072266,66.68162443199937,102797.66493055556,102794.2709375,102794.8397640306,560.476576063368,559.4522241210938,557.8350506218112,4.722947916665968,4.761801249999844,4.804577168367823,3058.012410481771,2518.3688330078126,2177.353130729831,65.648988087972,78.09074107805888,77.08282245473659
1/2/2019,21.0491,105.8831,,NVC,0,0,0,0,0,0,3,8,21,3,13,24,0,0,0,0,0,0,2,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1503346703118748,0.1584336432814598,0.16076732989476653,-2.7755575615628914e-17,-2.7755575615628914e-17,2.7708576518289257e-05,12.105141957600912,12.11209098815918,12.10612291219283,3.631308078765869,3.563483724594116,3.569114081713618,65.45949045817058,65.37753601074219,65.35031299201809,102702.13715277778,102698.070625,102698.11176658163,560.476576063368,559.4522241210938,557.8350506218112,7.789520833334084,7.800427500004298,7.796860969389613,3058.012410481771,2518.3688330078126,2177.353130729831,65.648988087972,78.09074107805888,77.08282245473659
1/3/2019,21.0491,105.8831,41.3104,NVC,0,0,0,0,0,0,3,8,21,3,13,24,0,0,0,0,0,0,2,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1503346703118748,0.1584336432814598,0.16076732989476653,-2.7755575615628914e-17,-5.551115123125783e-17,1.1102230246251565e-16,13.010085105895996,13.047860565185546,13.067380360194615,2.8888833787706165,2.8841327571868898,2.879110419020361,69.25161234537761,69.04566802978516,68.85925993627431,102456.078125,102451.9275,102452.32605229592,316.2427232530382,323.05927734375,334.62072255660075,9.14177777779211,8.949080000004033,8.838265306124468,3058.012410481771,2518.3688330078126,2177.353130729831,65.648988087972,78.09074107805888,77.08282245473659
1/4/2019,21.0491,105.8831,39.37920417,NVC,0,0,0,0,0,0,3,8,21,3,13,24,0,0,0,0,0,0,2,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1503346703118748,0.1584336432814598,0.16076732989476653,-2.7755575615628914e-16,-3.885780586188048e-16,-5.551115123125783e-16,15.498522546556261,15.535318069458008,15.536327984868263,2.8888833787706165,2.8841327571868898,2.879110419020361,78.70481194390192,78.38730010986328,78.26349577611806,102183.55034722222,102179.530625,102179.94451530612,188.64352077907986,216.76363220214844,232.60279472506775,11.897893518513431,11.879601666665597,11.857449829930022,3058.012410481771,2518.3688330078126,2177.353130729831,65.648988087972,78.09074107805888,77.08282245473659
1/5/2019,21.0491,105.8831,39.90187917,NVC,0,0,0,0,0,0,3,8,21,3,13,24,0,0,0,0,0,0,2,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1503346703118748,0.1584336432814598,0.16076732989476653,0.0,0.0,3.3306690738754696e-16,17.6612671746148,17.65937629699707,17.665115551072724,1.460248549779256,1.5298113679885865,1.5727371196357571,75.88091362847223,75.79444915771484,75.80496355952049,102074.90451388889,102071.1334375,102071.6991390306,290.32994249131946,294.7663366699219,296.99840685786035,11.874305555561376,11.914230000001844,11.922872448974998,3058.012410481771,2518.3688330078126,2177.353130729831,65.648988087972,78.09074107805888,77.08282245473659
1/6/2019,21.0491,105.8831,30.00824583,NVC,0,0,0,0,0,0,3,8,21,3,13,24,0,0,0,0,0,0,2,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1503346703118748,0.1584336432814598,0.16076732989476653,-2.220446049250313e-16,2.220446049250313e-16,-5.551115123125783e-16,17.6612671746148,17.65937629699707,17.665115551072724,1.460248549779256,1.5298113679885865,1.5727371196357571,71.63033294677734,71.38990112304687,71.29598127092633,102074.90451388889,102071.1334375,102071.6991390306,273.32804701063367,270.78753662109375,269.35795624402107,9.857270833324744,9.888817500006407,9.873468112255143,3058.012410481771,2518.3688330078126,2177.353130729831,65.648988087972,78.09074107805888,77.08282245473659
1/7/2019,21.0491,105.8831,38.8811625,NVC,0,0,0,0,0,0,3,8,21,3,13,24,0,0,0,0,0,0,2,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1503346703118748,0.1584336432814598,0.16076732989476653,2.7755575615628914e-17,5.551115123125783e-17,1.1102230246251565e-16,19.093529383341473,19.09865074157715,19.091900961739675,3.4532380633884006,3.406850576400757,3.4006105637063784,71.63033294677734,71.38990112304687,71.29598127092633,102074.90451388889,102071.1334375,102071.6991390306,405.66141425238715,413.51466552734377,415.2540270746971,13.722358796311138,13.686995833338006,13.688688350340104,3058.012410481771,2518.3688330078126,2177.353130729831,65.648988087972,78.09074107805888,77.08282245473659
1/8/2019,21.0491,105.8831,23.5602625,NVC,0,0,0,0,0,0,3,8,21,3,13,24,0,0,0,0,0,0,2,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1503346703118748,0.1584336432814598,0.16076732989476653,0.0,0.0,0.0,19.093529383341473,19.09865074157715,19.091900961739675,4.365645832485622,4.3929618453979495,4.439434946799765,74.35508897569444,74.30622161865234,74.30372806471222,102166.18402777778,102162.4778125,102162.91645408163,281.82841322157117,292.56880737304687,303.5323860012755,13.722358796311138,13.686995833338006,13.688688350340104,3058.012410481771,2518.3688330078126,2177.353130729831,65.648988087972,78.09074107805888,77.08282245473659
1/9/2019,21.0491,105.8831,17.66202917,NVC,0,0,0,0,0,0,3,8,21,3,13,24,0,0,0,0,0,0,2,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1503346703118748,0.1584336432814598,0.16076732989476653,0.0,-2.7755575615628914e-17,4.163336342344337e-17,13.009180280897352,13.025654792785645,13.029721766102071,4.365645832485622,4.3929618453979495,4.439434946799765,76.68784077962239,76.58883728027344,76.49247897401148,102166.18402777778,102162.4778125,102162.91645408163,264.34823269314234,266.4586547851562,269.80106525031886,8.908413194443305,8.910328750003245,8.888356505104397,3058.012410481771,2518.3688330078126,2177.353130729831,65.648988087972,78.09074107805888,77.08282245473659
1/10/2019,21.0491,105.8831,22.33865417,NVC,0,0,0,0,0,0,3,8,21,3,13,24,0,0,0,0,0,0,2,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.261039674282074,0.2611299651861191,0.26688600863729206,0.0,0.0,0.0,16.199150297376846,16.21666389465332,16.215144566127233,2.7938982115851507,2.824881868362427,2.84337795510584,76.68784077962239,76.58883728027344,76.49247897401148,101849.92013888889,101846.140625,101846.93845663265,182.55034891764322,176.01143859863282,172.80107428103076,8.908413194443305,8.910328750003245,8.888356505104397,3058.012410481771,2518.3688330078126,2177.353130729831,65.648988087972,78.09074107805888,77.08282245473659
